区分,薬価基準収載医薬品コード,成分名,規格,,,,品名,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考
内用薬,1124009F1290,ブロチゾラム,０．２５ｍｇ１錠,局,,,ブロチゾラム錠０．２５ｍｇ「ＪＧ」,大興製薬,後発品,,,9.90 ,,
内用薬,1124009F1312,ブロチゾラム,０．２５ｍｇ１錠,局,,,ブロチゾラム錠０．２５ｍｇ「サワイ」,メディサ新薬,後発品,,,9.90 ,,
内用薬,1124009F1355,ブロチゾラム,０．２５ｍｇ１錠,局,,,ブロチゾラム錠０．２５ｍｇ「日医工」,日医工,後発品,,,9.90 ,,
内用薬,1124009F1380,ブロチゾラム,０．２５ｍｇ１錠,局,,,ブロチゾラム錠０．２５ｍｇ「ＴＣＫ」,辰巳化学,後発品,,,9.90 ,,
内用薬,1124009F1398,ブロチゾラム,０．２５ｍｇ１錠,局,,,ブロチゾラム錠０．２５ｍｇ「ヨシトミ」,田辺三菱製薬,後発品,,,9.90 ,,H29.6.16収載
内用薬,1124009F2017,ブロチゾラム,０．２５ｍｇ１錠,,,,ブロチゾラム０．２５ｍｇ錠（２）,,後発品,,,8.50 ,,
内用薬,1124009F2025,ブロチゾラム,０．２５ｍｇ１錠,,,,レンドルミンＤ錠０．２５ｍｇ,日本ベーリンガーインゲルハイム,,先発品,○,24.30 ,,
内用薬,1124009F2068,ブロチゾラム,０．２５ｍｇ１錠,,,,ブロチゾラムＯＤ錠０．２５ｍｇ「ＪＧ」,大興製薬,後発品,,,9.90 ,,
内用薬,1124009F2076,ブロチゾラム,０．２５ｍｇ１錠,,,,ブロチゾラムＯＤ錠０．２５ｍｇ「サワイ」,メディサ新薬,後発品,,,9.90 ,,
内用薬,1124009F2092,ブロチゾラム,０．２５ｍｇ１錠,,,,ブロチゾラムＯＤ錠０．２５ｍｇ「テバ」,武田テバファーマ,後発品,,,9.90 ,,
内用薬,1124009F3030,ブロチゾラム,０．１２５ｍｇ１錠,局,,,ブロチゾラム錠０．１２５ｍｇ「ＮＰ」,ニプロ,後発品,,,5.60 ,,
内用薬,1124010F1021,ロルメタゼパム,１ｍｇ１錠,,,,エバミール錠１．０,バイエル薬品,,先発品,,19.80 ,,
内用薬,1124010F1030,ロルメタゼパム,１ｍｇ１錠,,,,ロラメット錠１．０,あすか製薬,,先発品,,20.70 ,,
内用薬,1124013B1031,オキサゾラム,１０％１ｇ,,,,セレナール散１０％,第一三共,,先発品,,40.00 ,,
内用薬,1124013C1010,オキサゾラム,１０％１ｇ,,,,オキサゾラム１０％細粒,,後発品,,,10.60 ,,
内用薬,1124013F1033,オキサゾラム,５ｍｇ１錠,,,,セレナール錠５,第一三共,,先発品,,5.60 ,,
内用薬,1124013F2064,オキサゾラム,１０ｍｇ１錠,,,,セレナール錠１０,第一三共,,先発品,,5.70 ,,
内用薬,1124014B1036,クロキサゾラム,１％１ｇ,,,,セパゾン散１％,第一三共,,先発品,,25.00 ,,
内用薬,1124014F1038,クロキサゾラム,１ｍｇ１錠,,,,セパゾン錠１,第一三共,,先発品,,5.60 ,,
内用薬,1124014F2034,クロキサゾラム,２ｍｇ１錠,,,,セパゾン錠２,第一三共,,先発品,,5.70 ,,
内用薬,1124015M2038,クロラゼプ酸二カリウム,７．５ｍｇ１カプセル,局,,,メンドンカプセル７．５ｍｇ,マイランＥＰＤ,,先発品,,11.00 ,,
内用薬,1124017B1129,ジアゼパム,１％１ｇ,,,,セルシン散１％,武田テバ薬品,,準先発品,○,16.30 ,,
内用薬,1124017B1137,ジアゼパム,１％１ｇ,,,,ジアゼパム散１％「アメル」,共和薬品工業,後発品,,,6.20 ,,
内用薬,1124017B1145,ジアゼパム,１％１ｇ,,,,ホリゾン散１％,丸石製薬,,準先発品,○,15.30 ,,
内用薬,1124017F2046,ジアゼパム,２ｍｇ１錠,局,,,ジアゼパム錠２「サワイ」,沢井製薬,後発品,,,5.60 ,,
内用薬,1124017F2054,ジアゼパム,２ｍｇ１錠,局,,,ジアゼパム錠２「トーワ」,東和薬品,後発品,,,5.60 ,,
内用薬,1124017F2089,ジアゼパム,２ｍｇ１錠,局,,,ジアパックス錠２ｍｇ,大鵬薬品工業,後発品,,,5.60 ,,
内用薬,1124017F2135,ジアゼパム,２ｍｇ１錠,局,,,２ｍｇセルシン錠,武田テバ薬品,,準先発品,○,5.90 ,,
内用薬,1124017F2151,ジアゼパム,２ｍｇ１錠,局,,,ホリゾン錠２ｍｇ,丸石製薬,,準先発品,○,5.90 ,,
内用薬,1124017F2194,ジアゼパム,２ｍｇ１錠,局,,,ジアゼパム錠２ｍｇ「アメル」,共和薬品工業,後発品,,,5.60 ,,
内用薬,1124017F2216,ジアゼパム,２ｍｇ１錠,局,,,ジアゼパム錠２ｍｇ「ツルハラ」,鶴原製薬,後発品,,,5.60 ,,
内用薬,1124017F4049,ジアゼパム,５ｍｇ１錠,局,,,５ｍｇセルシン錠,武田テバ薬品,,準先発品,○,9.20 ,,
内用薬,1124017F4065,ジアゼパム,５ｍｇ１錠,局,,,ジアゼパム錠５「トーワ」,東和薬品,後発品,,,5.70 ,,
内用薬,1124017F4090,ジアゼパム,５ｍｇ１錠,局,,,ジアパックス錠５ｍｇ,大鵬薬品工業,後発品,,,5.70 ,,
内用薬,1124017F4162,ジアゼパム,５ｍｇ１錠,局,,,ホリゾン錠５ｍｇ,丸石製薬,,準先発品,○,9.20 ,,
内用薬,1124017F4200,ジアゼパム,５ｍｇ１錠,局,,,ジアゼパム錠５ｍｇ「アメル」,共和薬品工業,後発品,,,5.70 ,,
内用薬,1124017F4219,ジアゼパム,５ｍｇ１錠,局,,,ジアゼパム錠５ｍｇ「ツルハラ」,鶴原製薬,後発品,,,5.60 ,,
内用薬,1124017F5010,ジアゼパム,１０ｍｇ１錠,,,,ジアゼパム１０ｍｇ錠,,後発品,,,5.60 ,,
内用薬,1124017F5037,ジアゼパム,１０ｍｇ１錠,局,,,１０ｍｇセルシン錠,武田テバ薬品,,準先発品,○,17.00 ,,
内用薬,1124017Q1032,ジアゼパム,０．１％１ｍＬ,,,,セルシンシロップ０．１％,武田テバ薬品,,,,16.90 ,,
内用薬,1124019C1034,フルジアゼパム,０．１％１ｇ,,,,エリスパン細粒０．１％,大日本住友製薬,,先発品,,25.70 ,H29.3.31まで,
内用薬,1124019F1030,フルジアゼパム,０．２５ｍｇ１錠,,,,エリスパン錠０．２５ｍｇ,大日本住友製薬,,先発品,,8.20 ,,
内用薬,1124020C1045,ブロマゼパム,１％１ｇ,,,,レキソタン細粒１％,中外製薬,,先発品,○,26.50 ,,
内用薬,1124020C1053,ブロマゼパム,１％１ｇ,,,,セニラン細粒１％,サンド,後発品,,,23.00 ,,
内用薬,1124020F1025,ブロマゼパム,１ｍｇ１錠,,,,レキソタン錠１,中外製薬,,先発品,,5.60 ,,
内用薬,1124020F1033,ブロマゼパム,１ｍｇ１錠,,,,セニラン錠１ｍｇ,サンド,★,,,5.60 ,,
内用薬,1124020F2030,ブロマゼパム,２ｍｇ１錠,,,,レキソタン錠２,中外製薬,,先発品,○,5.80 ,,
内用薬,1124020F2048,ブロマゼパム,２ｍｇ１錠,,,,セニラン錠２ｍｇ,サンド,後発品,,,5.60 ,,
内用薬,1124020F3036,ブロマゼパム,３ｍｇ１錠,,,,セニラン錠３ｍｇ,サンド,後発品,,,5.80 ,,
内用薬,1124020F4032,ブロマゼパム,５ｍｇ１錠,,,,レキソタン錠５,中外製薬,,先発品,○,13.00 ,,
内用薬,1124020F4040,ブロマゼパム,５ｍｇ１錠,,,,セニラン錠５ｍｇ,サンド,後発品,,,7.20 ,,
内用薬,1124021F1046,メダゼパム,２ｍｇ１錠,,,,メダゼパム錠２（ツルハラ）,鶴原製薬,★,,,5.60 ,,
内用薬,1124021F1054,メダゼパム,２ｍｇ１錠,,,,レスミット錠２,塩野義製薬,,先発品,,5.60 ,,
内用薬,1124021F2123,メダゼパム,５ｍｇ１錠,,,,メダゼパム錠５（ツルハラ）,鶴原製薬,★,,,5.60 ,,
内用薬,1124021F2166,メダゼパム,５ｍｇ１錠,,,,レスミット錠５,塩野義製薬,,先発品,,5.60 ,,
内用薬,1124022F1067,ロラゼパム,０．５ｍｇ１錠,,,,ワイパックス錠０．５,ファイザー,,先発品,○,5.80 ,,
内用薬,1124022F1083,ロラゼパム,０．５ｍｇ１錠,,,,ロラゼパム錠０．５ｍｇ「サワイ」,沢井製薬,後発品,,,5.00 ,,
内用薬,1124022F2071,ロラゼパム,１ｍｇ１錠,,,,ワイパックス錠１．０,ファイザー,,先発品,○,10.40 ,,
内用薬,1124022F2110,ロラゼパム,１ｍｇ１錠,,,,ロラゼパム錠１ｍｇ「サワイ」,沢井製薬,後発品,,,5.60 ,,
内用薬,1124023F1029,アルプラゾラム,０．４ｍｇ１錠,,,,コンスタン０．４ｍｇ錠,武田テバ薬品,,先発品,○,8.70 ,,
内用薬,1124023F1037,アルプラゾラム,０．４ｍｇ１錠,,,,ソラナックス０．４ｍｇ錠,ファイザー,,先発品,○,8.50 ,,
内用薬,1124023F1100,アルプラゾラム,０．４ｍｇ１錠,,,,アルプラゾラム錠０．４ｍｇ「トーワ」,東和薬品,後発品,,,5.60 ,,
内用薬,1124023F1118,アルプラゾラム,０．４ｍｇ１錠,,,,アルプラゾラム錠０．４ｍｇ「サワイ」,メディサ新薬,後発品,,,5.60 ,,
内用薬,1124023F1126,アルプラゾラム,０．４ｍｇ１錠,,,,アルプラゾラム錠０．４ｍｇ「アメル」,共和薬品工業,後発品,,,5.60 ,,
内用薬,1124023F2025,アルプラゾラム,０．８ｍｇ１錠,,,,コンスタン０．８ｍｇ錠,武田テバ薬品,,先発品,○,14.20 ,,
内用薬,1124023F2033,アルプラゾラム,０．８ｍｇ１錠,,,,ソラナックス０．８ｍｇ錠,ファイザー,,先発品,○,14.40 ,,
内用薬,1124023F2050,アルプラゾラム,０．８ｍｇ１錠,,,,アルプラゾラム錠０．８ｍｇ「トーワ」,東和薬品,後発品,,,7.40 ,,
内用薬,1124023F2076,アルプラゾラム,０．８ｍｇ１錠,,,,アルプラゾラム錠０．８ｍｇ「サワイ」,メディサ新薬,後発品,,,7.40 ,,
内用薬,1124023F2084,アルプラゾラム,０．８ｍｇ１錠,,,,アルプラゾラム錠０．８ｍｇ「アメル」,共和薬品工業,後発品,,,7.40 ,,
内用薬,1124024C1035,フルタゾラム,１％１ｇ,,,,コレミナール細粒１％,沢井製薬,,先発品,,15.00 ,,
内用薬,1124024F1031,フルタゾラム,４ｍｇ１錠,,,,コレミナール錠４ｍｇ,沢井製薬,,先発品,,8.70 ,,
内用薬,1124025C1030,メキサゾラム,０．１％１ｇ,,,,メレックス細粒０．１％,第一三共,,先発品,,13.00 ,,
内用薬,1124025F1028,メキサゾラム,０．５ｍｇ１錠,,,,メレックス錠０．５ｍｇ,第一三共,,先発品,,6.90 ,,
内用薬,1124025F2024,メキサゾラム,１ｍｇ１錠,,,,メレックス錠１ｍｇ,第一三共,,先発品,,12.60 ,,
内用薬,1124026C1085,トフィソパム,１０％１ｇ,,,,グランダキシン細粒１０％,持田製薬,,先発品,○,25.80 ,,
内用薬,1124026C1107,トフィソパム,１０％１ｇ,,,,トフィソパム細粒１０％「ＣＨ」,長生堂製薬,後発品,,,8.40 ,,
内用薬,1124026C1115,トフィソパム,１０％１ｇ,,,,トフィソパム細粒１０％「ツルハラ」,鶴原製薬,後発品,,,8.40 ,,
内用薬,1124026F1022,トフィソパム,５０ｍｇ１錠,,,,グランダキシン錠５０,持田製薬,,先発品,○,14.60 ,,
内用薬,1124026F1219,トフィソパム,５０ｍｇ１錠,,,,グランパム錠５０ｍｇ,東和薬品,後発品,,,5.80 ,H30.3.31まで,
内用薬,1124026F1243,トフィソパム,５０ｍｇ１錠,,,,バイダキシン錠５０ｍｇ,ナガセ医薬品,後発品,,,5.80 ,H29.3.31まで,
内用薬,1124026F1294,トフィソパム,５０ｍｇ１錠,,,,トフィソパム錠５０ｍｇ「ＪＧ」,日本ジェネリック,後発品,,,5.80 ,H30.3.31まで,
内用薬,1124026F1324,トフィソパム,５０ｍｇ１錠,,,,トフィソパム錠５０ｍｇ「日医工」,日医工,後発品,,,5.80 ,,
内用薬,1124026F1332,トフィソパム,５０ｍｇ１錠,,,,トフィソパム錠５０ｍｇ「サワイ」,沢井製薬,後発品,,,5.80 ,,
内用薬,1124026F1340,トフィソパム,５０ｍｇ１錠,,,,トフィソパム錠５０ｍｇ「トーワ」,東和薬品,後発品,,,5.80 ,,H29.12.8収載
内用薬,1124027F1035,フルトプラゼパム,２ｍｇ１錠,局,,,レスタス錠２ｍｇ,日本ジェネリック,,先発品,,19.20 ,,
内用薬,1124028B1011,クロルジアゼポキシド,１％１ｇ,局,,,クロルジアゼポキシド散,,,,,7.20 ,,
内用薬,1124028B1046,クロルジアゼポキシド,１％１ｇ,局,,,コントール散１％,武田テバ薬品,,,,8.20 ,,
内用薬,1124028B2018,クロルジアゼポキシド,１０％１ｇ,局,,,クロルジアゼポキシド散,,,,,41.30 ,,
内用薬,1124028F1013,クロルジアゼポキシド,５ｍｇ１錠,局,,,クロルジアゼポキシド錠,,,,,9.60 ,,
内用薬,1124028F2010,クロルジアゼポキシド,１０ｍｇ１錠,局,,,クロルジアゼポキシド錠,,,,,9.60 ,,
内用薬,1124029C1038,ロフラゼプ酸エチル,１％１ｇ,,,,メイラックス細粒１％,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,,先発品,,195.00 ,,
内用薬,1124029F1026,ロフラゼプ酸エチル,１ｍｇ１錠,,,,メイラックス錠１ｍｇ,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,,先発品,○,20.10 ,,
内用薬,1124029F1085,ロフラゼプ酸エチル,１ｍｇ１錠,,,,ジメトックス錠１,日医工,後発品,,,7.40 ,,
内用薬,1124029F1123,ロフラゼプ酸エチル,１ｍｇ１錠,,,,ロフラゼプ酸エチル錠１ｍｇ「サワイ」,沢井製薬,後発品,,,7.40 ,,
内用薬,1124029F1131,ロフラゼプ酸エチル,１ｍｇ１錠,,,,ロフラゼプ酸エチル錠１ｍｇ「トーワ」,東和薬品,後発品,,,7.40 ,,
内用薬,1124029F1140,ロフラゼプ酸エチル,１ｍｇ１錠,,,,ロフラゼプ酸エチル錠１ｍｇ「ＳＮ」,シオノケミカル,後発品,,,7.40 ,,
内用薬,1124029F2014,ロフラゼプ酸エチル,２ｍｇ１錠,,,,ロフラゼプ酸エチル２ｍｇ錠,,後発品,,,9.20 ,,
内用薬,1124029F2022,ロフラゼプ酸エチル,２ｍｇ１錠,,,,メイラックス錠２ｍｇ,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,,先発品,○,36.10 ,,
内用薬,1124029F2090,ロフラゼプ酸エチル,２ｍｇ１錠,,,,ロフラゼプ酸エチル錠２ｍｇ「サワイ」,沢井製薬,後発品,,,13.00 ,,
内用薬,1124030F1029,クアゼパム,１５ｍｇ１錠,,,,ドラール錠１５,久光製薬,,先発品,○,90.60 ,,
内用薬,1124030F1037,クアゼパム,１５ｍｇ１錠,,,,クアゼパム錠１５ｍｇ「ＭＮＰ」,日新製薬（山形）,後発品,,,50.20 ,,
内用薬,1124030F1045,クアゼパム,１５ｍｇ１錠,,,,クアゼパム錠１５ｍｇ「ＹＤ」,陽進堂,後発品,,,39.50 ,,
内用薬,1124030F1053,クアゼパム,１５ｍｇ１錠,,,,クアゼパム錠１５ｍｇ「アメル」,共和薬品工業,後発品,,,39.50 ,,
内用薬,1124030F1061,クアゼパム,１５ｍｇ１錠,,,,クアゼパム錠１５ｍｇ「トーワ」,東和薬品,後発品,,,50.20 ,,
内用薬,1124030F1070,クアゼパム,１５ｍｇ１錠,,,,クアゼパム錠１５ｍｇ「日医工」,日医工,後発品,,,50.20 ,,
内用薬,1124030F1088,クアゼパム,１５ｍｇ１錠,,,,クアゼパム錠１５ｍｇ「サワイ」,沢井製薬,後発品,,,39.50 ,,
内用薬,1124030F2025,クアゼパム,２０ｍｇ１錠,,,,ドラール錠２０,久光製薬,,先発品,○,107.70 ,,
内用薬,1124030F2033,クアゼパム,２０ｍｇ１錠,,,,クアゼパム錠２０ｍｇ「ＭＮＰ」,日新製薬（山形）,後発品,,,59.20 ,,
